"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
2017,"C17",0.28,0.49,0.33,0.65,0.34,0.67,0.29,0.43,0.56,1.1,0.06,0.1
2018,"C17",0.31,0.55,0.39,0.61,0.4,0.61,0.33,0.67,0.55,0.84,0.07,0.15
2019,"C17",0.22,0.49,0.27,0.61,0.29,0.63,0,0.4,0.43,0.93,0,0.08
2020,"C17",0.32,0.51,0.44,0.74,0.45,0.76,0.4,0.6,0.52,0.88,0.25,0.38
2021,"C17",0.38,0.56,0.47,0.67,0.46,0.65,0.47,0.73,0.62,0.88,0.25,0.39
2008,"C18",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"C18",0.25,0.25,0.33,0.33,0.5,0.5,0,0,1,1,0,0
2010,"C18",0.25,0.5,0.5,1,0.5,1,NA,NA,Inf,Inf,0,0
2011,"C18",0.25,0.75,0,1,0,1,NA,NA,0,1,NA,NA
2012,"C18",0.3,0.5,0.25,0.25,0.25,0.25,NA,NA,0.5,0.5,0,0
2013,"C18",0.27,0.36,0.33,0.67,0.33,0.67,NA,NA,0.5,1,0,0
2014,"C18",0.17,0.83,0,0.8,0,0.8,NA,NA,0,0.8,NA,NA
2015,"C18",0.33,1,0,1,0,1,NA,NA,0,1.25,NA,NA
2016,"C18",0.1,0.2,0.5,0.5,0,0,1,1,0,0,Inf,Inf
2017,"C18",0,0.14,0,1,NA,NA,0,1,0,0,NA,Inf
2018,"C18",0.25,0.5,1,1,1,1,1,1,0.67,0.67,Inf,Inf
2019,"C18",0.19,0.5,0.6,0.8,0.6,0.8,NA,NA,1,1.33,0,0
2020,"C18",0.2,0.47,0.25,0.25,0.25,0.25,NA,NA,1,1,0,0
2021,"C18",0.22,0.56,0.67,1,0.5,1,1,1,0.33,0.67,Inf,Inf
2008,"C19",0.02,0.07,0.05,0.1,0.05,0.1,NA,NA,0.07,0.14,0,0
2009,"C19",0.08,0.22,0.24,0.4,0.24,0.4,NA,NA,0.32,0.53,0,0
2010,"C19",0.07,0.31,0.15,0.48,0.16,0.48,0,0.5,0.24,0.71,0,0.12
2011,"C19",0.07,0.28,0.07,0.48,0.08,0.5,0,0,0.08,0.54,0,0
2012,"C19",0.22,0.43,0.28,0.36,0.3,0.36,0,0.5,0.5,0.6,0,0.07
2013,"C19",0.13,0.43,0.19,0.52,0.21,0.54,0,0.33,0.26,0.68,0,0.12
2014,"C19",0.23,0.49,0.25,0.5,0.27,0.52,0,0.33,0.43,0.81,0,0.08
2015,"C19",0.21,0.48,0.32,0.61,0.31,0.62,0.25,0.5,0.36,0.73,0.12,0.25
2016,"C19",0.27,0.46,0.33,0.5,0.38,0.5,0,0.5,0.71,0.94,0,0.11
2017,"C19",0.28,0.47,0.35,0.58,0.39,0.61,0,0.33,0.47,0.74,0,0.17
2018,"C19",0.24,0.43,0.32,0.4,0.33,0.42,0,0,0.67,0.83,0,0
2019,"C19",0.26,0.42,0.33,0.5,0.31,0.5,0.5,0.5,0.53,0.87,0.13,0.13
2020,"C19",0.4,0.52,0.55,0.61,0.55,0.61,0.5,0.5,0.85,0.95,0.08,0.08
2021,"C19",0.27,0.5,0.37,0.67,0.35,0.7,0.5,0.5,0.47,0.94,0.22,0.22
2008,"C20",0.02,0.1,0.05,0.25,0.05,0.26,0,0.17,0.08,0.38,0,0.09
2009,"C20",0.05,0.19,0.11,0.3,0.13,0.32,0,0.14,0.2,0.5,0,0.06
2010,"C20",0.13,0.28,0.2,0.36,0.2,0.31,0.12,0.5,0.26,0.41,0.08,0.31
2011,"C20",0.2,0.4,0.34,0.59,0.29,0.56,1,1,0.5,0.97,0.22,0.22
2012,"C20",0.19,0.42,0.17,0.4,0.17,0.42,0.17,0.17,0.26,0.64,0.05,0.05
2013,"C20",0.17,0.4,0.23,0.51,0.21,0.51,0.43,0.43,0.28,0.69,0.15,0.15
2014,"C20",0.34,0.59,0.37,0.63,0.37,0.61,0.5,1,0.52,0.88,0.06,0.12
